class,n_real,nn_median_dist,nn_90pct_dist
Fuzzers,546,77323212.72092763,200447788.72175956
Worms,4,77094138.95126835,148343863.28449005
Shellcode,34,76351321.54297307,136870940.49645665
Exploits,1002,69059173.31195189,142530568.39380404
Normal,1680,64738457.23641166,139113238.61258692
Analysis,60,64227508.95321058,96778892.07003565
Reconnaissance,315,60169857.11573839,128082125.53524697
Backdoor,52,56323128.72019191,135652495.40920416
DoS,368,56322524.94555099,92523310.56570682
Generic,1200,54369209.992783874,73999095.93694678
