class,n_eval,median_real2real,median_real2synth,relative_coverage,zspace_nn_median,zspace_nn_p90
Analysis,2000,2.445312023162842,1111.0392456054688,0.002200923174257676,1111.0392456054688,1111.96298828125
Backdoor,1746,2.6014612913131714,1111.1248168945312,0.00234128628193542,1111.1248168945312,1111.990478515625
DoS,3000,2.6204869747161865,1111.0962524414062,0.00235846981659618,1111.0962524414062,1111.9830322265625
Generic,3000,2.6228933334350586,1111.5122680664062,0.0023597520322450965,1111.5122680664062,1112.19169921875
Normal,3000,2.6501330137252808,1109.0340576171875,0.0023895866817825392,1109.0340576171875,1111.0506225585937
Exploits,3000,2.6853195428848267,1108.391845703125,0.0024227167975792475,1108.391845703125,1111.7387084960938
Reconnaissance,3000,2.7233086824417114,1109.8255004882812,0.002453817002081461,1109.8255004882812,1111.7475708007812
Worms,130,2.7275599241256714,1107.5878295898438,0.0024626127619474902,1107.5878295898438,1110.7362670898438
Fuzzers,3000,2.789674997329712,1107.9844360351562,0.0025177925849864517,1107.9844360351562,1111.7035278320313
Shellcode,1133,2.9003562927246094,1109.8172607421875,0.0026133638350380344,1109.8172607421875,1111.6724609375
